city,regionName
백령도,인천
서울,서울
과천,경기남부
광명,경기남부
강화,인천
김포,경기남부
인천,인천
시흥,경기남부
안산,경기남부
부천,경기남부
의정부,경기북부
고양,경기북부
양주,경기북부
파주,경기북부
동두천,경기북부
연천,경기북부
포천,경기북부
가평,경기북부
구리,경기북부
남양주,경기북부
양평,경기남부
하남,경기남부
수원,경기남부
안양,경기남부
오산,경기남부
화성,경기남부
성남,경기남부
평택,경기남부
의왕,경기남부
군포,경기남부
안성,경기남부
용인,경기남부
이천,경기남부
광주,경기남부
여주,경기남부
충주,충북
진천,충북
음성,충북
제천,충북
단양,충북
청주,충북
보은,충북
괴산,충북
증평,충북
추풍령,충북
영동,충북
옥천,충북
서산,충남
태안,충남
당진,충남
홍성,충남
보령,충남
서천,충남
천안,충남
아산,충남
예산,충남
대전,대전
공주,충남
계룡,충남
세종,세종
부여,충남
청양,충남
금산,충남
논산,충남
철원,강원영서
화천,강원영서
인제,강원영서
양구,강원영서
춘천,강원영서
홍천,강원영서
원주,강원영서
횡성,강원영서
영월,강원영서
정선,강원영서
평창,강원영서
대관령,강원영동
태백,강원영동
속초,강원영동
고성,강원영동
양양,강원영동
강릉,강원영동
동해,강원영동
삼척,강원영동
전주,전북
익산,전북
정읍,전북
완주,전북
장수,전북
무주,전북
진안,전북
남원,전북
임실,전북
순창,전북
군산,전북
김제,전북
고창,전북
부안,전북
함평,전남
영광,전남
진도,전남
완도,전남
해남,전남
강진,전남
장흥,전남
여수,전남
광양,전남
고흥,전남
보성,전남
순천시,전남
광주,전남
장성,전남
나주,전남
담양,전남
화순,전남
구례,전남
곡성,전남
순천,전남
흑산도,전남
목포,전남
영암,전남
신안,전남
무안,전남
성산,제주
제주,제주
성판악,제주
서귀포,제주
고산,제주
이어도,제주
추자도,제주
울진,경북
영덕,경북
포항,경북
경주,경북
문경,경북
상주,경북
예천,경북
영주,경북
봉화,경북
영양,경북
안동,경북
의성,경북
청송,경북
김천,경북
구미,경북
군위,경북
고령,경북
성주,경북
대구,대구
영천,경북
경산,경북
청도,경북
칠곡,경북
울산,울산
양산,경남
부산,부산
창원,경남
김해,경남
통영,경남
사천,경남
거제,경남
고성,경남
남해,경남
함양,경남
거창,경남
합천,경남
밀양,경남
의령,경남
함안,경남
창녕,경남
진주,경남
산청,경남
하동,경남
